Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Pathway,Gene Ontology (biological process),Gene Ontology (molecular function),PDB,Pfam
P00959,reviewed,SYM_ECOLI,Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS),metG b2114 JW2101,Escherichia coli (strain K12),677,,methionyl-tRNA aminoacylation [GO:0006431],ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]; protein homodimerization activity [GO:0042803]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270],1F4L;1MEA;1MED;1P7P;1PFU;1PFV;1PFW;1PFY;1PG0;1PG2;1QQT;3H97;3H99;3H9B;3H9C;6SPN;6SPO;6SPP;6SPQ;6SPR;8BRU;8BRV;8BRW;8BRX;,PF19303;PF09334;PF01588;
P00962,reviewed,SYQ_ECOLI,Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS),glnS b0680 JW0666,Escherichia coli (strain K12),554,,glutaminyl-tRNA aminoacylation [GO:0006425]; glutamyl-tRNA aminoacylation [GO:0006424],ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819],1EUQ;1EUY;1EXD;1GSG;1GTR;1GTS;1NYL;1O0B;1O0C;1QRS;1QRT;1QRU;1QTQ;1ZJW;2RD2;2RE8;4JXX;4JXZ;4JYZ;,PF00749;PF03950;PF20974;
P00963,reviewed,ASNA_ECOLI,Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A),asnA b3744 JW3722,Escherichia coli (strain K12),330,PATHWAY: Amino-acid biosynthesis; L-asparagine biosynthesis; L-asparagine from L-aspartate (ammonia route): step 1/1.,asparagine biosynthetic process [GO:0006529]; DNA damage response [GO:0006974]; L-asparagine biosynthetic process [GO:0070981],aspartate-ammonia ligase activity [GO:0004071]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803],11AS;12AS;,PF03590;
P00968,reviewed,CARB_ECOLI,Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain),carB pyrA b0033 JW0031,Escherichia coli (strain K12),1073,"PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01210, ECO:0000305|Ref.8}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000255|HAMAP-Rule:MF_01210, ECO:0000305|Ref.8}.",'de novo' UMP biosynthetic process [GO:0044205]; amino acid biosynthetic process [GO:0008652]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]; pyrimidine nucleobase biosynthetic process [GO:0019856],amino acid binding [GO:0016597]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166],1A9X;1BXR;1C30;1C3O;1CE8;1CS0;1JDB;1KEE;1M6V;1T36;,PF02786;PF02787;PF02142;
P02358,reviewed,RS6_ECOLI,"Small ribosomal subunit protein bS6 (30S ribosomal protein S6) [Cleaved into: Small ribosomal subunit protein bS6, fully modified isoform; Small ribosomal subunit protein bS6, non-modified isoform]",rpsF b4200 JW4158,Escherichia coli (strain K12),135,,cytoplasmic translation [GO:0002181],mRNA 5'-UTR binding [GO:0048027]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735],1EG0;2YKR;3IY8;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;4A2I;4ADV;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5AFI;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5ME0;5ME1;5MGP;5MY1;5NO2;5NO3;5NO4;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5UZ4;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6AWB;6AWC;6AWD;6BU8;6BY1;6C4I;6DNC;6ENF;6ENJ;6ENU;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6I7V;6NQB;6O7K;6O9J;6O9K;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6Q97;6Q98;6Q9A;6SZS;6TBV;6TC3;6VU3;6VWL;6VWM;6VWN;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6W6K;6W77;6W7M;6W7W;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XE0;6XGF;6XII;6XIJ;6XZA;6XZB;6Y69;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7AFI;7AFL;7AFO;7B5K;7BOD;7BOE;7BOF;7BOG;7BOH;7BOI;7CPJ;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NAR;7NAS;7NAT;7NAU;7NAV;7NAX;7NBU;7NWT;7O19;7O1A;7O1C;7O5H;7OE0;7OE1;7OI0;7OIZ;7OJ0;7P3K;7PJS;7PJT;7PJU;7PJV;7PJW;7PJX;7PJY;7PJZ;7Q4K;7QG8;7QGH;7QGN;7QGR;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7UPH;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7ZTA;8A3L;8AKN;8AM9;8AYE;8B0X;8B7Y;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8CAI;8CEP;8CGJ;8CGR;8CGU;8EIU;8EKC;8EMM;8EYQ;8EYT;8FIZ;8FTO;8FZD;8FZE;8FZF;8FZG;8FZH;8FZI;8FZJ;8G2U;8G31;8G34;8G38;8G6W;8G7P;8G7Q;8G7R;8G7S;8GHU;8HSP;8HTZ;8HU1;8IFB;8IFC;8JSG;8JSH;8K3O;8K4E;8P16;8P17;8P18;8PEG;8PHJ;8PKL;8PVA;8Q4F;8QBT;8QK7;8QOA;8R3V;8R6C;8R8M;8RCL;8RCM;8RCS;8RCT;8SYL;8T5D;8T5H;8UPO;8UPR;8UQL;8UQM;8UQP;8UR0;8URH;8URI;8URX;8URY;8VS9;8VSA;8YUO;8YUP;8YUQ;8YUR;8YUS;9AX7;9AX8;9CG5;9CG6;9CG7;9DUK;9DUL;9FBV;9GFT;9GGR;9GR1;9GUQ;9MOR;9MQ4;,PF01250;
P02359,reviewed,RS7_ECOLI,Small ribosomal subunit protein uS7 (30S ribosomal protein S7),rpsG b3341 JW3303,Escherichia coli (strain K12),179,,cytoplasmic translation [GO:0002181]; negative regulation of translation [GO:0017148]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412],mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049],1EG0;1ML5;2YKR;3J5S;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;4A2I;4ADV;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5AFI;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5ME0;5ME1;5MGP;5MY1;5NO2;5NO3;5NO4;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5UZ4;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6AWB;6AWC;6AWD;6BU8;6BY1;6C4I;6DNC;6ENF;6ENJ;6ENU;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6I7V;6O7K;6O9J;6O9K;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6Q97;6Q98;6Q9A;6SZS;6TBV;6TC3;6VU3;6VWL;6VWM;6VWN;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6W7M;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XE0;6XGF;6XII;6XIJ;6XZA;6XZB;6Y69;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7AF3;7AF5;7AF8;7AFA;7AFD;7AFH;7AFK;7AFN;7B5K;7BOE;7BOH;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NAR;7NAT;7NAU;7NAV;7NAX;7NSO;7NSP;7NSQ;7NWT;7NWW;7O19;7O1A;7O1C;7OE0;7OE1;7OIF;7OIG;7OII;7OIZ;7OJ0;7OT5;7P3K;7PJS;7PJT;7PJU;7PJV;7PJW;7PJX;7PJY;7PJZ;7Q4K;7QG8;7QGH;7QGN;7QGR;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7UPH;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7ZTA;8A3L;8AKN;8AM9;8AYE;8B0X;8B7Y;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8CA7;8CAZ;8CF1;8CF8;8CGI;8EIU;8EKC;8EMM;8EYT;8FIZ;8FTO;8FZD;8FZE;8FZF;8FZG;8FZH;8FZI;8FZJ;8G2U;8G31;8G34;8G38;8G6W;8G7P;8G7Q;8G7R;8G7S;8GHU;8HSP;8HTZ;8HU1;8IFB;8IFC;8JSG;8K3O;8K4E;8P16;8P17;8P18;8PEG;8PHJ;8PKL;8PVA;8Q4F;8QBT;8QK7;8QOA;8R3V;8R6C;8R8M;8RCL;8RCM;8RCS;8RCT;8SYL;8T5D;8T5H;8UPO;8UPR;8UQL;8UQM;8UQP;8UR0;8URH;8URI;8URX;8URY;8VS9;8VSA;8YUO;8YUP;8YUQ;8YUR;8YUS;9AX7;9AX8;9CG5;9CG6;9CG7;9DUK;9DUL;9FBV;9GFT;9GGR;9GR1;9GUP;9GUQ;9GUS;9GUT;9GUU;9GUV;9GUW;9GUX;9MOR;9MQ4;,PF00177;
P02916,reviewed,MALF_ECOLI,Maltose/maltodextrin transport system permease protein MalF,malF b4033 JW3993,Escherichia coli (strain K12),514,,DNA damage response [GO:0006974]; maltodextrin transmembrane transport [GO:0042956]; maltose transport [GO:0015768]; negative regulation of maltose transport [GO:1902344]; negative regulation of transmembrane transport [GO:0034763],ABC-type maltose transporter activity [GO:0015423],2R6G;3FH6;3PUV;3PUW;3PUX;3PUY;3PUZ;3PV0;3RLF;4JBW;4KHZ;4KI0;,PF00528;PF20872;PF14785;
P02918,reviewed,PBPA_ECOLI,Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)],mrcA ponA b3396 JW3359,Escherichia coli (strain K12),850,PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000269|PubMed:7006606}.,cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677],penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002],,PF17092;PF00912;PF00905;
P02919,reviewed,PBPB_ECOLI,Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)],mrcB pbpF ponB b0149 JW0145,Escherichia coli (strain K12),844,PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis.,cell wall repair [GO:0071433]; peptidoglycan biosynthetic process [GO:0009252]; positive regulation of bipolar cell growth [GO:0051518]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677],penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002],3FWL;3VMA;5FGZ;5HL9;5HLA;5HLB;5HLD;6FZK;6G5R;6YN0;7LQ6;,PF14812;PF00912;PF00905;PF14814;
P02920,reviewed,LACY_ECOLI,Lactose permease (Lactose-proton symport),lacY b0343 JW0334,Escherichia coli (strain K12),417,,carbohydrate transport [GO:0008643]; lactose transport [GO:0015767],carbohydrate:proton symporter activity [GO:0005351]; lactose binding [GO:0030395]; lactose:proton symporter activity [GO:0015528],1PV6;1PV7;2CFP;2CFQ;2V8N;2Y5Y;4ZYR;5GXB;6C9W;6VBG;8Y9Y;8YA0;8YA2;8YA3;,PF01306;
P02921,reviewed,MELB_ECOLI,Melibiose permease (Melibiose carrier) (Melibiose transporter) (Melibiose/cation symporter) (Na+ (Li+)/melibiose symporter) (Thiomethylgalactoside permease II),melB mel-4 b4120 JW4081,Escherichia coli (strain K12),473,,melibiose transport [GO:0015769]; methylgalactoside transport [GO:0015765]; transmembrane transport [GO:0055085],melibiose:monoatomic cation symporter activity [GO:0015487]; melibiose:sodium symporter activity [GO:0043887]; methylgalactoside transmembrane transporter activity [GO:0015592],,PF13347;
P02925,reviewed,RBSB_ECOLI,Ribose import binding protein RbsB,rbsB prlB rbsP b3751 JW3730,Escherichia coli (strain K12),296,,D-ribose transmembrane transport [GO:0015752]; positive chemotaxis [GO:0050918]; transmembrane transport [GO:0055085],monosaccharide binding [GO:0048029],1BA2;1DBP;1DRJ;1DRK;1URP;2DRI;2GX6;,PF13407;
P02929,reviewed,TONB_ECOLI,Protein TonB,tonB exbA b1252 JW5195,Escherichia coli (strain K12),239,,cobalamin transport [GO:0015889]; colicin transport [GO:0042914]; intracellular iron ion homeostasis [GO:0006879]; intracellular monoatomic cation homeostasis [GO:0030003]; protein transport [GO:0015031]; receptor-mediated bacteriophage irreversible attachment to host cell [GO:0098002]; siderophore transport [GO:0015891]; transmembrane transport [GO:0055085],energy transducer activity [GO:0031992]; protein domain specific binding [GO:0019904],1IHR;1QXX;1U07;1XX3;2GRX;2GSK;8P9R;8VGC;8VGD;,PF03544;PF16031;
P02930,reviewed,TOLC_ECOLI,Outer membrane protein TolC (Multidrug efflux pump subunit TolC) (Outer membrane factor TolC),tolC colE1-i mtcB mukA refI toc weeA b3035 JW5503,Escherichia coli (strain K12),493,,bile acid and bile salt transport [GO:0015721]; enterobactin transport [GO:0042930]; monoatomic ion transmembrane transport [GO:0034220]; response to antibiotic [GO:0046677]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; xenobiotic detoxification by transmembrane export across the cell outer membrane [GO:0140330]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961],bile acid transmembrane transporter activity [GO:0015125]; efflux transmembrane transporter activity [GO:0015562]; enterobactin transmembrane transporter activity [GO:0042931]; identical protein binding [GO:0042802]; monoatomic ion channel activity [GO:0005216]; porin activity [GO:0015288],1EK9;1TQQ;2VDD;2VDE;2WMZ;2XMN;5NG5;5NIK;5NIL;5O66;5V5S;6WXH;6WXI;,PF02321;
P02931,reviewed,OMPF_ECOLI,Outer membrane porin F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein F) (Outer membrane protein IA) (Porin OmpF),ompF cmlB coa cry tolF b0929 JW0912,Escherichia coli (strain K12),362,,monoatomic ion transmembrane transport [GO:0034220]; protein homotrimerization [GO:0070207]; protein transport [GO:0015031],colicin transmembrane transporter activity [GO:0042912]; disordered domain specific binding [GO:0097718]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; lipopolysaccharide binding [GO:0001530]; monoatomic ion channel activity [GO:0005216]; porin activity [GO:0015288],1BT9;1GFM;1GFN;1GFO;1GFP;1GFQ;1HXT;1HXU;1HXX;1MPF;1OPF;2OMF;2ZFG;2ZLD;3FYX;3HW9;3HWB;3K19;3K1B;3O0E;3POQ;3POU;3POX;4D5U;4GCP;4GCQ;4GCS;4JFB;4LSE;4LSF;4LSH;4LSI;5NUO;5NUQ;5NUR;6WTZ;6ZHP;6ZHV;7FDY;7NST;7NSU;8C7L;,PF00267;
P02942,reviewed,MCP1_ECOLI,Methyl-accepting chemotaxis protein I (MCP-I) (Serine chemoreceptor protein),tsr cheD b4355 JW4318,Escherichia coli (strain K12),551,,cell motility [GO:0048870]; cellular response to amino acid stimulus [GO:0071230]; chemotaxis [GO:0006935]; detection of chemical stimulus [GO:0009593]; protein homooligomerization [GO:0051260]; protein trimerization [GO:0070206]; receptor clustering [GO:0043113]; regulation of bacterial-type flagellum-dependent cell motility [GO:1902021]; regulation of chemotaxis [GO:0050920]; regulation of protein histidine kinase activity [GO:0032110]; signal complex assembly [GO:0007172]; signal transduction [GO:0007165],identical protein binding [GO:0042802]; transmembrane signaling receptor activity [GO:0004888],1QU7;2D4U;3ATP;3ZX6;6S1K;8C5V;,PF00672;PF00015;PF02203;
P02943,reviewed,LAMB_ECOLI,Maltoporin (Maltose outer membrane channel) (Maltose-inducible porin) (Phage lambda receptor protein),lamB malB b4036 JW3996,Escherichia coli (strain K12),446,,DNA damage response [GO:0006974]; maltodextrin transmembrane transport [GO:0042956]; maltose transmembrane transport [GO:1904981]; monoatomic ion transport [GO:0006811]; polysaccharide transport [GO:0015774],carbohydrate transmembrane transporter activity [GO:0015144]; maltodextrin transmembrane transporter activity [GO:0042958]; maltose transmembrane transporter activity [GO:0005363]; maltose transporting porin activity [GO:0015481]; porin activity [GO:0015288]; virus receptor activity [GO:0001618],1AF6;1MAL;1MPM;1MPN;1MPO;1MPQ;8B7V;,PF02264;
P03004,reviewed,DNAA_ECOLI,Chromosomal replication initiator protein DnaA (EC 3.6.4.-),dnaA b3702 JW3679,Escherichia coli (strain K12),467,,DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; negative regulation of DNA-templated DNA replication initiation [GO:0032297]; positive regulation of DNA-templated DNA replication initiation [GO:0032298]; regulation of DNA replication [GO:0006275]; regulation of DNA-templated DNA replication initiation [GO:0030174],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA replication origin binding [GO:0003688]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; sequence-specific DNA binding [GO:0043565],1J1V;2E0G;,PF00308;PF08299;PF11638;
P03007,reviewed,DPO3E_ECOLI,DNA polymerase III subunit epsilon (EC 2.7.7.7),dnaQ mutD b0215 JW0205,Escherichia coli (strain K12),243,,DNA replication proofreading [GO:0045004]; DNA-templated DNA replication [GO:0006261]; lagging strand elongation [GO:0006273]; leading strand elongation [GO:0006272],3'-5' exonuclease activity [GO:0008408]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; exonuclease activity [GO:0004527]; metal ion binding [GO:0046872],1J53;1J54;2GUI;2IDO;2XY8;4GX8;4GX9;5FKU;5FKV;5FKW;5M1S;,PF00929;
P03018,reviewed,UVRD_ECOLI,DNA helicase II (EC 5.6.2.4) (DNA 3'-5' helicase II),uvrD mutU pdeB rad recL b3813 JW3786,Escherichia coli (strain K12),720,,mismatch repair [GO:0006298]; mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication [GO:0070716]; nucleotide-excision repair [GO:0006289]; recombinational repair [GO:0000725]; replication fork processing [GO:0031297]; response to radiation [GO:0009314]; rolling circle DNA replication [GO:0070581]; SOS response [GO:0009432],3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA translocase activity [GO:0015616]; protein homodimerization activity [GO:0042803]; single-stranded DNA helicase activity [GO:0017116],2IS1;2IS2;2IS4;2IS6;3LFU;6YI2;7EGS;,PF21196;PF00580;PF13361;
P03023,reviewed,LACI_ECOLI,Lactose operon repressor,lacI b0345 JW0336,Escherichia coli (strain K12),360,,negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355],cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity [GO:0001217]; identical protein binding [GO:0042802]; transcription cis-regulatory region binding [GO:0000976],1CJG;1EFA;1JWL;1JYE;1JYF;1L1M;1LBG;1LBH;1LBI;1LCC;1LCD;1LQC;1OSL;1TLF;2BJC;2KEI;2KEJ;2KEK;2P9H;2PAF;2PE5;3EDC;4RZS;4RZT;8GOH;,PF00356;PF13377;
P03819,reviewed,KEFC_ECOLI,Glutathione-regulated potassium-efflux system protein KefC (K(+)/H(+) antiporter),kefC trkC b0047 JW0046,Escherichia coli (strain K12),620,,intracellular pH elevation [GO:0051454]; potassium ion transport [GO:0006813]; proton transmembrane transport [GO:1902600]; regulation of intracellular pH [GO:0051453]; regulation of pH [GO:0006885]; response to hydrogen peroxide [GO:0042542]; response to methylglyoxal [GO:0051595]; response to toxic substance [GO:0009636],enzyme binding [GO:0019899]; glutathione-regulated potassium exporter activity [GO:0015503]; nucleotide binding [GO:0000166]; protein homodimerization activity [GO:0042803]; toxic substance binding [GO:0015643],3EYW;3L9W;3L9X;8BXG;8BY2;9EMB;,PF00999;PF02254;
P03959,reviewed,KDPA_ECOLI,Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain),kdpA b0698 JW0686,Escherichia coli (strain K12),557,,monoatomic cation transmembrane transport [GO:0098655]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813],P-type potassium transmembrane transporter activity [GO:0008556]; potassium ion binding [GO:0030955],5MRW;6HRA;6HRB;7BGY;7BH1;7BH2;7LC3;7LC6;7NNL;7NNP;7ZRD;7ZRE;7ZRG;7ZRH;7ZRI;7ZRJ;7ZRK;7ZRL;7ZRM;,PF03814;
P03960,reviewed,KDPB_ECOLI,Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain),kdpB b0697 JW0685,Escherichia coli (strain K12),682,,monoatomic cation transmembrane transport [GO:0098655]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; magnesium ion binding [GO:0000287]; P-type potassium transmembrane transporter activity [GO:0008556],1SVJ;1U7Q;2A00;2A29;5MRW;6HRA;6HRB;7BGY;7BH1;7BH2;7LC3;7LC6;7NNL;7NNP;7ZRD;7ZRE;7ZRG;7ZRH;7ZRI;7ZRJ;7ZRK;7ZRL;7ZRM;,PF00122;PF00702;
P03961,reviewed,KDPC_ECOLI,Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain),kdpC b0696 JW0684,Escherichia coli (strain K12),190,,monoatomic cation transmembrane transport [GO:0098655]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813],ATP binding [GO:0005524]; P-type potassium transmembrane transporter activity [GO:0008556],5MRW;6HRA;6HRB;7BGY;7BH1;7BH2;7LC3;7LC6;7NNL;7NNP;7ZRD;7ZRE;7ZRG;7ZRH;7ZRI;7ZRJ;7ZRK;7ZRL;7ZRM;,PF02669;
P04036,reviewed,DAPB_ECOLI,4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8),dapB b0031 JW0029,Escherichia coli (strain K12),273,PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 4/4. {ECO:0000255|HAMAP-Rule:MF_00102}.,amino acid biosynthetic process [GO:0008652]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089],"4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; identical protein binding [GO:0042802]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]",1ARZ;1DIH;1DRU;1DRV;1DRW;,PF05173;PF01113;
